用户ID,昵称,姓名,代理等级,业绩周期,归属高级ID,归属高级昵称,归属高级姓名,电话,归属高级等级,金额
A00077,门店-A77,门店77,门店代理,2026-07-01,D0020,经销商-T,高级专,13800000020,运营中心,224.4
A00078,门店-A78,门店78,门店代理,2026-07-01,D0006,经销商-F,高级丅,13800000006,运营中心,357.6
A00079,门店-A79,门店79,门店代理,2026-07-01,D0038,经销商-L,高级38,13800000038,运营中心,218.4
A00080,门店-A80,门店80,门店代理,2026-07-01,D0041,经销商-O,高级41,13800000041,运营中心,74.8
A00081,门店-A81,门店81,门店代理,2026-07-01,D0031,经销商-E,高级31,13800000031,运营中心,1008
A00082,门店-A82,门店82,门店代理,2026-07-01,D0009,经销商-I,高级丈,13800000009,运营中心,75.6
A00083,门店-A83,门店83,门店代理,2026-07-01,D0043,经销商-Q,高级43,13800000043,运营中心,34
A00084,门店-A84,门店84,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,75.6
A00085,门店-A85,门店85,门店代理,2026-07-01,D0023,经销商-W,高级世,13800000023,运营中心,759
A00086,门店-A86,门店86,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,186
A00087,门店-A87,门店87,门店代理,2026-07-01,D0013,经销商-M,高级丌,13800000013,运营中心,680
A00088,门店-A88,门店88,门店代理,2026-07-01,D0013,经销商-M,高级丌,13800000013,运营中心,1280
A00089,门店-A89,门店89,门店代理,2026-07-01,D0013,经销商-M,高级丌,13800000013,运营中心,1280
A00090,门店-A90,门店90,门店代理,2026-07-01,D0045,经销商-S,高级45,13800000045,运营中心,1280
A00091,门店-A91,门店91,门店代理,2026-07-01,D0040,经销商-N,高级40,13800000040,运营中心,7820
A00092,门店-A92,门店92,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,4932
A00093,门店-A93,门店93,门店代理,2026-07-01,D0046,经销商-T,高级46,13800000046,运营中心,1839.3
A00094,门店-A94,门店94,门店代理,2026-07-01,D0047,经销商-U,高级47,13800000047,运营中心,1751
A00095,门店-A95,门店95,门店代理,2026-07-01,D0040,经销商-N,高级40,13800000040,运营中心,3143
A00096,门店-A96,门店96,门店代理,2026-07-01,D0048,经销商-V,高级48,13800000048,运营中心,211.4
A00097,门店-A97,门店97,门店代理,2026-07-01,D0018,经销商-R,高级丑,13800000018,运营中心,140.8
A00098,门店-A98,门店98,门店代理,2026-07-01,D0018,经销商-R,高级丑,13800000018,运营中心,74.8
A00099,门店-A99,门店99,门店代理,2026-07-01,D0049,经销商-W,高级49,13800000049,运营中心,1315.2
A00100,门店-A100,门店100,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,176.5
A00101,门店-A101,门店101,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,75.6
A00102,门店-A102,门店102,门店代理,2026-07-01,D0013,经销商-M,高级丌,13800000013,运营中心,100.9
A00103,门店-A103,门店103,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,877.6
A00104,门店-A104,门店104,门店代理,2026-07-01,D0050,经销商-X,高级50,13800000050,运营中心,89.1
A00105,门店-A105,门店105,门店代理,2026-07-01,D0031,经销商-E,高级31,13800000031,运营中心,324.6
A00106,门店-A106,门店106,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,604.8
A00107,门店-A107,门店107,门店代理,2026-07-01,D0002,经销商-B,高级丁,13800000002,业务员,432
A00108,门店-A108,门店108,门店代理,2026-07-01,D0051,经销商-Y,高级51,13800000051,运营中心,467.7
A00109,门店-A109,门店109,门店代理,2026-07-01,D0011,经销商-K,高级上,13800000011,运营中心,43.2
A00110,门店-A110,门店110,门店代理,2026-07-01,D0051,经销商-Y,高级51,13800000051,运营中心,0
A00111,门店-A111,门店111,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,1469.1
A00112,门店-A112,门店112,门店代理,2026-07-01,D0022,经销商-V,高级丕,13800000022,运营中心,492
A00113,门店-A113,门店113,门店代理,2026-07-01,D0052,经销商-Z,高级52,13800000052,运营中心,526.5
A00114,门店-A114,门店114,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,210.6
A00115,门店-A115,门店115,门店代理,2026-07-01,D0053,经销商-A,高级53,13800000053,运营中心,54.8
A00116,门店-A116,门店116,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,100.8
A00117,门店-A117,门店117,门店代理,2026-07-01,D0036,经销商-J,高级36,13800000036,运营中心,228.7
A00118,门店-A118,门店118,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,341.6
A00119,门店-A119,门店119,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,1053
A00120,门店-A120,门店120,门店代理,2026-07-01,D0054,经销商-B,高级54,13800000054,运营中心,227.9
A00121,门店-A121,门店121,门店代理,2026-07-01,D0055,经销商-C,高级55,13800000055,运营中心,64
A00122,门店-A122,门店122,门店代理,2026-07-01,D0056,经销商-D,高级56,13800000056,运营中心,362.6
A00123,门店-A123,门店123,门店代理,2026-07-01,D0053,经销商-A,高级53,13800000053,运营中心,21.6
A00124,门店-A124,门店124,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,97.2
A00125,门店-A125,门店125,门店代理,2026-07-01,D0057,经销商-E,高级57,13800000057,运营中心,1431.7
A00126,门店-A126,门店126,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,86.4
A00127,门店-A127,门店127,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,1890
A00128,门店-A128,门店128,门店代理,2026-07-01,D0032,经销商-F,高级32,13800000032,运营中心,75.6
A00129,门店-A129,门店129,门店代理,2026-07-01,D0058,经销商-F,高级58,13800000058,运营中心,179
A00130,门店-A130,门店130,门店代理,2026-07-01,D0030,经销商-D,高级30,13800000030,运营中心,128
A00131,门店-A131,门店131,门店代理,2026-07-01,D0050,经销商-X,高级50,13800000050,运营中心,3570
A00132,门店-A132,门店132,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,2592.4
A00133,门店-A133,门店133,门店代理,2026-07-01,D0050,经销商-X,高级50,13800000050,运营中心,75.6
A00134,门店-A134,门店134,门店代理,2026-07-01,D0024,经销商-X,高级丗,13800000024,运营中心,302.4
A00135,门店-A135,门店135,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,378
A00136,门店-A136,门店136,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,1411.6
A00137,门店-A137,门店137,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,75.6
A00138,门店-A138,门店138,门店代理,2026-07-01,D0036,经销商-J,高级36,13800000036,运营中心,75.6
A00139,门店-A139,门店139,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,75.6
A00140,门店-A140,门店140,门店代理,2026-07-01,D0031,经销商-E,高级31,13800000031,运营中心,43.2
A00141,门店-A141,门店141,门店代理,2026-07-01,D0027,经销商-A,高级27,13800000027,运营中心,75.6
A00142,门店-A142,门店142,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,949.5
A00143,门店-A143,门店143,门店代理,2026-07-01,D0010,经销商-J,高级三,13800000010,运营中心,2252.1
A00144,门店-A144,门店144,门店代理,2026-07-01,D0010,经销商-J,高级三,13800000010,运营中心,376.7
A00145,门店-A145,门店145,门店代理,2026-07-01,D0022,经销商-V,高级丕,13800000022,运营中心,75.6
A00146,门店-A146,门店146,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,75.6
A00147,门店-A147,门店147,门店代理,2026-07-01,D0059,经销商-G,高级59,13800000059,运营中心,226.8
A00148,门店-A148,门店148,门店代理,2026-07-01,D0049,经销商-W,高级49,13800000049,运营中心,473.7
A00149,门店-A149,门店149,门店代理,2026-07-01,D0056,经销商-D,高级56,13800000056,运营中心,403
A00150,门店-A150,门店150,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,428.7
A00151,门店-A151,门店151,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,544
A00152,门店-A152,门店152,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,139.6
A00153,门店-A153,门店153,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,2528.1
A00154,门店-A154,门店154,门店代理,2026-07-01,D0045,经销商-S,高级45,13800000045,运营中心,151.2
A00155,门店-A155,门店155,门店代理,2026-07-01,D0010,经销商-J,高级三,13800000010,运营中心,5468.4
A00156,门店-A156,门店156,门店代理,2026-07-01,D0025,经销商-Y,高级丘,13800000025,运营中心,1042.7
A00157,门店-A157,门店157,门店代理,2026-07-01,D0025,经销商-Y,高级丘,13800000025,运营中心,150.4
A00158,门店-A158,门店158,门店代理,2026-07-01,D0037,经销商-K,高级37,13800000037,运营中心,123.6
A00159,门店-A159,门店159,门店代理,2026-07-01,D0056,经销商-D,高级56,13800000056,运营中心,232.2
A00160,门店-A160,门店160,门店代理,2026-07-01,D0039,经销商-M,高级39,13800000039,运营中心,816.6
A00161,门店-A161,门店161,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,388.6
A00162,门店-A162,门店162,门店代理,2026-07-01,D0039,经销商-M,高级39,13800000039,运营中心,82.6
A00163,门店-A163,门店163,门店代理,2026-07-01,D0060,经销商-H,高级60,13800000060,运营中心,769.8
A00164,门店-A164,门店164,门店代理,2026-07-01,D0041,经销商-O,高级41,13800000041,运营中心,504
A00165,门店-A165,门店165,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,3282.4
A00166,门店-A166,门店166,门店代理,2026-07-01,D0011,经销商-K,高级上,13800000011,运营中心,1209.6
A00167,门店-A167,门店167,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,151.2
A00168,门店-A168,门店168,门店代理,2026-07-01,D0055,经销商-C,高级55,13800000055,运营中心,316.5
A00169,门店-A169,门店169,门店代理,2026-07-01,D0010,经销商-J,高级三,13800000010,运营中心,1089
A00170,门店-A170,门店170,门店代理,2026-07-01,D0041,经销商-O,高级41,13800000041,运营中心,549.2
A00171,门店-A171,门店171,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,226.8
A00172,门店-A172,门店172,门店代理,2026-07-01,D0061,经销商-I,高级61,13800000061,运营中心,75.6
A00173,门店-A173,门店173,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,266.5
A00174,门店-A174,门店174,门店代理,2026-07-01,D0030,经销商-D,高级30,13800000030,运营中心,151.2
A00175,门店-A175,门店175,门店代理,2026-07-01,D0039,经销商-M,高级39,13800000039,运营中心,151.2
A00176,门店-A176,门店176,门店代理,2026-07-01,D0062,经销商-J,高级62,13800000062,运营中心,842.4
A00177,门店-A177,门店177,门店代理,2026-07-01,D0025,经销商-Y,高级丘,13800000025,运营中心,797.7
A00178,门店-A178,门店178,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,60.2
A00179,门店-A179,门店179,门店代理,2026-07-01,D0058,经销商-F,高级58,13800000058,运营中心,75.6
A00180,门店-A180,门店180,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,529.2
A00181,门店-A181,门店181,门店代理,2026-07-01,D0055,经销商-C,高级55,13800000055,运营中心,3131.2
A00182,门店-A182,门店182,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,378
A00183,门店-A183,门店183,门店代理,2026-07-01,D0018,经销商-R,高级丑,13800000018,运营中心,151.2
A00184,门店-A184,门店184,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,120.4
A00185,门店-A185,门店185,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,886.8
A00186,门店-A186,门店186,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,6502.7
A00187,门店-A187,门店187,门店代理,2026-07-01,D0041,经销商-O,高级41,13800000041,运营中心,74.8
A00188,门店-A188,门店188,门店代理,2026-07-01,D0063,经销商-K,高级63,13800000063,运营中心,1011.1
A00189,门店-A189,门店189,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,37.4
A00190,门店-A190,门店190,门店代理,2026-07-01,D0029,经销商-C,高级29,13800000029,运营中心,421.6
A00191,门店-A191,门店191,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,89.1
A00192,门店-A192,门店192,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,374
A00193,门店-A193,门店193,门店代理,2026-07-01,D0023,经销商-W,高级世,13800000023,运营中心,302.4
A00194,门店-A194,门店194,门店代理,2026-07-01,D0030,经销商-D,高级30,13800000030,运营中心,450
A00195,门店-A195,门店195,门店代理,2026-07-01,D0042,经销商-P,高级42,13800000042,运营中心,37.4
A00196,门店-A196,门店196,门店代理,2026-07-01,D0013,经销商-M,高级丌,13800000013,运营中心,48
A00197,门店-A197,门店197,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,42
A00198,门店-A198,门店198,门店代理,2026-07-01,D0064,经销商-L,高级64,13800000064,运营中心,21.6
A00199,门店-A199,门店199,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,445.5
A00200,门店-A200,门店200,门店代理,2026-07-01,D0025,经销商-Y,高级丘,13800000025,运营中心,419.2
A00201,门店-A201,门店201,门店代理,2026-07-01,D0038,经销商-L,高级38,13800000038,运营中心,8515.3
A00202,门店-A202,门店202,门店代理,2026-07-01,D0011,经销商-K,高级上,13800000011,运营中心,731.4
A00203,门店-A203,门店203,门店代理,2026-07-01,D0039,经销商-M,高级39,13800000039,运营中心,759
A00204,门店-A204,门店204,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,142
A00205,门店-A205,门店205,门店代理,2026-07-01,D0041,经销商-O,高级41,13800000041,运营中心,3627.5
A00206,门店-A206,门店206,门店代理,2026-07-01,D0019,经销商-S,高级丒,13800000019,运营中心,112.2
A00207,门店-A207,门店207,门店代理,2026-07-01,D0065,经销商-M,高级65,13800000065,运营中心,226.8
A00208,门店-A208,门店208,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,8775
A00209,门店-A209,门店209,门店代理,2026-07-01,D0015,经销商-O,高级与,13800000015,运营中心,3282.4
A00210,门店-A210,门店210,门店代理,2026-07-01,D0039,经销商-M,高级39,13800000039,运营中心,3741.6
A00211,门店-A211,门店211,门店代理,2026-07-01,D0015,经销商-O,高级与,13800000015,运营中心,3436.6
A00212,门店-A212,门店212,门店代理,2026-07-01,D0031,经销商-E,高级31,13800000031,运营中心,4505.8
A00213,门店-A213,门店213,门店代理,2026-07-01,D0002,经销商-B,高级丁,13800000002,业务员,129.6
A00214,门店-A214,门店214,门店代理,2026-07-01,D0066,经销商-N,高级66,13800000066,运营中心,216
A00215,门店-A215,门店215,门店代理,2026-07-01,D0006,经销商-F,高级丅,13800000006,运营中心,253.8
A00216,门店-A216,门店216,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,541.6
A00217,门店-A217,门店217,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,39.9
A00218,门店-A218,门店218,门店代理,2026-07-01,D0042,经销商-P,高级42,13800000042,运营中心,99.8
A00219,门店-A219,门店219,门店代理,2026-07-01,D0011,经销商-K,高级上,13800000011,运营中心,291.6
A00220,门店-A220,门店220,门店代理,2026-07-01,D0042,经销商-P,高级42,13800000042,运营中心,4658.9
A00221,门店-A221,门店221,门店代理,2026-07-01,D0026,经销商-Z,高级丙,13800000026,运营中心,51
A00222,门店-A222,门店222,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,37.4
A00223,门店-A223,门店223,门店代理,2026-07-01,D0067,经销商-O,高级67,13800000067,运营中心,34.8
A00224,门店-A224,门店224,门店代理,2026-07-01,D0068,经销商-P,高级68,13800000068,运营中心,1175.2
A00225,门店-A225,门店225,门店代理,2026-07-01,D0022,经销商-V,高级丕,13800000022,运营中心,351.1
A00226,门店-A226,门店226,门店代理,2026-07-01,D0041,经销商-O,高级41,13800000041,运营中心,140.8
A00227,门店-A227,门店227,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,1832.3
A00228,门店-A228,门店228,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,60.2
A00229,门店-A229,门店229,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,5156
A00230,门店-A230,门店230,门店代理,2026-07-01,D0039,经销商-M,高级39,13800000039,运营中心,89.1
A00231,门店-A231,门店231,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,355.9
A00232,门店-A232,门店232,门店代理,2026-07-01,D0042,经销商-P,高级42,13800000042,运营中心,12558.4
A00233,门店-A233,门店233,门店代理,2026-07-01,D0051,经销商-Y,高级51,13800000051,运营中心,3584.8
A00234,门店-A234,门店234,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,21.6
A00235,门店-A235,门店235,门店代理,2026-07-01,D0069,经销商-Q,高级69,13800000069,运营中心,1106.7
A00236,门店-A236,门店236,门店代理,2026-07-01,D0030,经销商-D,高级30,13800000030,运营中心,272
A00237,门店-A237,门店237,门店代理,2026-07-01,D0030,经销商-D,高级30,13800000030,运营中心,3502
A00238,门店-A238,门店238,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,1022.9
A00239,门店-A239,门店239,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,731.4
A00240,门店-A240,门店240,门店代理,2026-07-01,D0070,经销商-R,高级70,13800000070,运营中心,21.6
A00241,门店-A241,门店241,门店代理,2026-07-01,D0071,经销商-S,高级71,13800000071,运营中心,178.2
A00242,门店-A242,门店242,门店代理,2026-07-01,D0044,经销商-R,高级44,13800000044,运营中心,37.4
A00243,门店-A243,门店243,门店代理,2026-07-01,D0072,经销商-T,高级72,13800000072,运营中心,58.8
A00244,门店-A244,门店244,门店代理,2026-07-01,D0031,经销商-E,高级31,13800000031,运营中心,3575.2
A00245,门店-A245,门店245,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,5317.3
A00246,门店-A246,门店246,门店代理,2026-07-01,D0073,经销商-U,高级73,13800000073,运营中心,149.6
A00247,门店-A247,门店247,门店代理,2026-07-01,D0074,经销商-V,高级74,13800000074,运营中心,254.4
A00248,门店-A248,门店248,门店代理,2026-07-01,D0075,经销商-W,高级75,13800000075,运营中心,899.8
A00249,门店-A249,门店249,门店代理,2026-07-01,D0053,经销商-A,高级53,13800000053,运营中心,181.8
A00250,门店-A250,门店250,门店代理,2026-07-01,D0027,经销商-A,高级27,13800000027,运营中心,2145
